oly_game,event_title,event_gender,medal_type,athlete_full_name,country_name,country_code,year
london-2012,63kg women,Women,BRONZE,Luz Mercedes ACOSTA VALDEZ,Mexico,MEX,2012
london-2012,105kg heavyweight men,Men,SILVER,Navab NASIRSHELAL,Islamic Republic of Iran,IRI,2012
london-2012,105kg heavyweight men,Men,BRONZE,Bartlomiej Wojciech BONK,Poland,POL,2012
london-2012,85kg men,Men,GOLD,Adrian Edward ZIELINSKI,Poland,POL,2012
london-2012,85kg men,Men,SILVER,Kianoush ROSTAMI,Islamic Republic of Iran,IRI,2012
london-2012,85kg men,Men,BRONZE,Tarek ABDELAZIM,Egypt,EGY,2012
london-2012,75kg women,Women,GOLD,Lidia VALENTIN PEREZ,Spain,ESP,2012
london-2012,75kg women,Women,SILVER,Abir KHALIL,Egypt,EGY,2012
london-2012,75kg women,Women,BRONZE,Madias Dodo NZESSO NGAKE,Cameroon,CMR,2012
london-2012,69kg women,Women,GOLD,Jong Sim RIM,Democratic People's Republic of Korea,PRK,2012
london-2012,69kg women,Women,SILVER,Anna NURMUKHAMBETOVA,Kazakhstan,KAZ,2012
london-2012,69kg women,Women,BRONZE,Ubaldina VALOYES CUESTA,Colombia,COL,2012
london-2012,56kg bantamweight men,Men,GOLD,Yun Chol OM,Democratic People's Republic of Korea,PRK,2012
london-2012,56kg bantamweight men,Men,SILVER,Jingbiao WU,People's Republic of China,CHN,2012
london-2012,56kg bantamweight men,Men,BRONZE,Valentin HRISTOV,Azerbaijan,AZE,2012
london-2012,94kg men,Men,GOLD,Saeid MOHAMMADPOURKARKARAGH,Islamic Republic of Iran,IRI,2012
london-2012,94kg men,Men,SILVER,Min-Jae KIM,Republic of Korea,KOR,2012
london-2012,94kg men,Men,BRONZE,Tomasz Bernard ZIELINSKI,Poland,POL,2012
london-2012,53kg women,Women,GOLD,Shu-Ching HSU,Chinese Taipei,TPE,2012
london-2012,53kg women,Women,SILVER,Citra FEBRIANTI,Indonesia,INA,2012
london-2012,53kg women,Women,BRONZE,Iuliia PARATOVA,Ukraine,UKR,2012
london-2012,58kg women,Women,GOLD,Xueying LI,People's Republic of China,CHN,2012
london-2012,58kg women,Women,SILVER,Pimsiri SIRIKAEW,Thailand,THA,2012
london-2012,58kg women,Women,BRONZE,Rattikan GULNOI,Thailand,THA,2012
london-2012,48kg women,Women,GOLD,Mingjuan WANG,People's Republic of China,CHN,2012
london-2012,48kg women,Women,SILVER,Hiromi MIYAKE,Japan,JPN,2012
london-2012,48kg women,Women,BRONZE,Chun Hwa RYANG,Democratic People's Republic of Korea,PRK,2012
london-2012,+75kg women,Women,GOLD,Lulu ZHOU,People's Republic of China,CHN,2012
london-2012,+75kg women,Women,SILVER,Tatiana KASHIRINA,Russian Federation,RUS,2012
london-2012,+75kg women,Women,BRONZE,Mi-Ran JANG,Republic of Korea,KOR,2012
london-2012,69kg men,Men,GOLD,Qingfeng LIN,People's Republic of China,CHN,2012
london-2012,69kg men,Men,SILVER,TRIYATNO ,Indonesia,INA,2012
london-2012,69kg men,Men,BRONZE,Myong Hyok KIM,Democratic People's Republic of Korea,PRK,2012
beijing-2008,105kg heavyweight men,Men,GOLD,Andrey Aryamnov,Belarus,BLR,2008
beijing-2008,105kg heavyweight men,Men,SILVER,Dmitriy KLOKOV,Russian Federation,RUS,2008
beijing-2008,105kg heavyweight men,Men,BRONZE,Marcin DOLEGA,Poland,POL,2008
beijing-2008,94kg men,Men,GOLD,Szymon KOLECKI,Poland,POL,2008
beijing-2008,94kg men,Men,SILVER,Arsen KASABIJEW,Georgia,GEO,2008
beijing-2008,94kg men,Men,BRONZE,Yohandrys HERNANDEZ,Cuba,CUB,2008
beijing-2008,85kg men,Men,GOLD,Yong LU,People's Republic of China,CHN,2008
beijing-2008,85kg men,Men,SILVER,Tigran Varban MARTIROSYAN,Armenia,ARM,2008
beijing-2008,85kg men,Men,BRONZE,Jadier VALLADARES,Cuba,CUB,2008
beijing-2008,69kg women,Women,GOLD,Oxana SLIVENKO,Russian Federation,RUS,2008
beijing-2008,69kg women,Women,SILVER,Leidy Yessenia SOLIS ARBOLEDA,Colombia,COL,2008
beijing-2008,69kg women,Women,BRONZE,Abir KHALIL,Egypt,EGY,2008
beijing-2008,56kg bantamweight men,Men,GOLD,Qingquan LONG,People's Republic of China,CHN,2008
beijing-2008,56kg bantamweight men,Men,SILVER,Anh Tuan HOANG,Vietnam,VIE,2008
beijing-2008,56kg bantamweight men,Men,BRONZE,Eko Yuli IRAWAN,Indonesia,INA,2008
beijing-2008,48kg women,Women,GOLD,Wei-Ling CHEN,Chinese Taipei,TPE,2008
beijing-2008,48kg women,Women,SILVER,Jeong-Hwa Im,Republic of Korea,KOR,2008
beijing-2008,48kg women,Women,BRONZE,Pensiri LAOSIRIKUL,Thailand,THA,2008
beijing-2008,75kg women,Women,GOLD,Alla VAZHENINA,Kazakhstan,KAZ,2008
beijing-2008,75kg women,Women,SILVER,Lidia VALENTIN PEREZ,Spain,ESP,2008
beijing-2008,75kg women,Women,BRONZE,Damaris AGUIRRE,Mexico,MEX,2008
beijing-2008,105kg superheavyweight men,Men,GOLD,Matthias STEINER,Germany,GER,2008
beijing-2008,105kg superheavyweight men,Men,SILVER,Evgeny CHIGISHEV,Russian Federation,RUS,2008
beijing-2008,105kg superheavyweight men,Men,BRONZE,Viktors SCERBATIHS,Latvia,LAT,2008
beijing-2008,63kg women,Women,GOLD,Hyon Suk PAK,Democratic People's Republic of Korea,PRK,2008
beijing-2008,63kg women,Women,SILVER,Ying-Chi LU,Chinese Taipei,TPE,2008
beijing-2008,63kg women,Women,BRONZE,Christine GIRARD,Canada,CAN,2008
beijing-2008,69kg men,Men,GOLD,Hui LIAO,People's Republic of China,CHN,2008
beijing-2008,69kg men,Men,SILVER,Vencelas DABAYA TIENTCHEU,France,FRA,2008
beijing-2008,69kg men,Men,BRONZE,Yordanis BORRERO,Cuba,CUB,2008
beijing-2008,62kg featherweight men,Men,GOLD,Xiangxiang ZHANG,People's Republic of China,CHN,2008
beijing-2008,62kg featherweight men,Men,SILVER,Diego Fernando SALAZAR,Colombia,COL,2008
beijing-2008,62kg featherweight men,Men,BRONZE,TRIYATNO ,Indonesia,INA,2008
beijing-2008,+75kg women,Women,GOLD,Mi-Ran JANG,Republic of Korea,KOR,2008
beijing-2008,+75kg women,Women,SILVER,Ele OPELOGE,Samoa,SAM,2008
beijing-2008,+75kg women,Women,BRONZE,Maryam USMAN,Nigeria,NGR,2008
beijing-2008,58kg women,Women,GOLD,Yanqing CHEN,People's Republic of China,CHN,2008
beijing-2008,58kg women,Women,SILVER,Jong Ae O,Democratic People's Republic of Korea,PRK,2008
beijing-2008,58kg women,Women,BRONZE,Wandee KAMEAIM,Thailand,THA,2008
beijing-2008,77kg men,Men,GOLD,Jaehyouk SA,Republic of Korea,KOR,2008
beijing-2008,77kg men,Men,SILVER,Hongli LI,People's Republic of China,CHN,2008
beijing-2008,77kg men,Men,BRONZE,Gevorg DAVTYAN,Armenia,ARM,2008
beijing-2008,53kg women,Women,GOLD,Prapawadee JAROENRATTANATARAKOON,Thailand,THA,2008
beijing-2008,53kg women,Women,SILVER,Jinhee YOON,Republic of Korea,KOR,2008
beijing-2008,53kg women,Women,BRONZE,Raema Lisa RUMBEWAS,Indonesia,INA,2008
athens-2004,53kg women,Women,GOLD,Udomporn POLSAK,Thailand,THA,2004
athens-2004,53kg women,Women,SILVER,Raema Lisa RUMBEWAS,Indonesia,INA,2004
athens-2004,53kg women,Women,BRONZE,Mabel MOSQUERA,Colombia,COL,2004
athens-2004,105kg superheavyweight men,Men,GOLD,Hossein REZA ZADEH,Islamic Republic of Iran,IRI,2004
athens-2004,105kg superheavyweight men,Men,SILVER,Viktors SCERBATIHS,Latvia,LAT,2004
athens-2004,105kg superheavyweight men,Men,BRONZE,Velichko CHOLAKOV,Bulgaria,BUL,2004
athens-2004,62kg featherweight men,Men,GOLD,Zhiyong SHI,People's Republic of China,CHN,2004
athens-2004,62kg featherweight men,Men,SILVER,Maosheng LE,People's Republic of China,CHN,2004
athens-2004,62kg featherweight men,Men,BRONZE,Israel Jose RUBIO,Venezuela,VEN,2004
athens-2004,48kg women,Women,GOLD,Nurcan TAYLAN,Turkey,TUR,2004
athens-2004,48kg women,Women,SILVER,Zhuo LI,People's Republic of China,CHN,2004
athens-2004,48kg women,Women,BRONZE,Aree WIRATTHAWORN,Thailand,THA,2004
athens-2004,63kg women,Women,GOLD,Nataliya SKAKUN,Ukraine,UKR,2004
athens-2004,63kg women,Women,SILVER,Anna Batyushko,Belarus,BLR,2004
athens-2004,63kg women,Women,BRONZE,Tatyana Stukalova,Belarus,BLR,2004
athens-2004,69kg women,Women,GOLD,Chunhong LIU,People's Republic of China,CHN,2004
athens-2004,69kg women,Women,SILVER,Eszter KRUTZLER,Hungary,HUN,2004
athens-2004,69kg women,Women,BRONZE,Zarema KASAEVA,Russian Federation,RUS,2004
athens-2004,85kg men,Men,GOLD,George ASANIDZE,Georgia,GEO,2004
athens-2004,85kg men,Men,SILVER,Andrey Rybakov,Belarus,BLR,2004
athens-2004,85kg men,Men,BRONZE,Pyrros DIMAS,Greece,GRE,2004
athens-2004,77kg men,Men,GOLD,Taner SAGIR,Turkey,TUR,2004
athens-2004,77kg men,Men,SILVER,Sergey FILIMONOV,Kazakhstan,KAZ,2004
athens-2004,77kg men,Men,BRONZE,Reyhan Arabacıoğlu,Turkey,TUR,2004
athens-2004,94kg men,Men,GOLD,Milen DOBREV,Bulgaria,BUL,2004
athens-2004,94kg men,Men,SILVER,Khadzhimurat AKKAEV,Russian Federation,RUS,2004
athens-2004,94kg men,Men,BRONZE,Eduard TYUKIN,Russian Federation,RUS,2004
athens-2004,58kg women,Women,GOLD,Yanqing CHEN,People's Republic of China,CHN,2004
athens-2004,58kg women,Women,SILVER,Song Hui RI,Democratic People's Republic of Korea,PRK,2004
athens-2004,58kg women,Women,BRONZE,Wandee KAMEAIM,Thailand,THA,2004
athens-2004,75kg women,Women,GOLD,Pawina THONGSUK,Thailand,THA,2004
athens-2004,75kg women,Women,SILVER,Natalya ZABOLOTNAYA,Russian Federation,RUS,2004
athens-2004,75kg women,Women,BRONZE,Valentina POPOVA,Russian Federation,RUS,2004
athens-2004,+75kg women,Women,GOLD,Gonghong TANG,People's Republic of China,CHN,2004
athens-2004,+75kg women,Women,SILVER,Mi-Ran JANG,Republic of Korea,KOR,2004
athens-2004,+75kg women,Women,BRONZE,Agata WROBEL,Poland,POL,2004
athens-2004,105kg heavyweight men,Men,GOLD,Dmitry BERESTOV,Russian Federation,RUS,2004
athens-2004,105kg heavyweight men,Men,SILVER,Igor RAZORONOV,Ukraine,UKR,2004
